 1/2017	 11/01/2017	 14/02/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 ao Senhor RIQUELMO BEDIN, Secretário da Secretaria de Saúde de Chapecó, ao Senhor ÉCIO BORDIGNON, Superintendente Regional do Oeste da CASAN, e ao Senhor ALEXANDRE ESTEFANI, Promotor de Justiça da 9ª Promotoria de Justiça da Comarca de Chapecó, para, considerando as informações abaixo explanadas, sejam convidados para participarem de Audiência Pública, a ser realizada no Plenário da Câmara de Vereadores em data e hora a ser definida previamente junto ao proponente do presente Requerimento. Nos Bairros Bela Vista e Parque das Palmeiras, nesta cidade de Chapecó, existem “respiros” ou “canos” que provém das tubulações subterrâneas de esgoto, ultrapassando o limite da calçada, chegando à altura aproximada de 2 a 5 metros, encerrando-se com uma curva curta e aberta. Referidas tubulações expelem odores desagradáveis, especialmente no período noturno. Tais “respiros” são chamados de dutos de esgoto. Ocorre que muitas vezes a situação fica insuportável, pois, especialmente no bairro Bela Vista, tais dutos chegam a espirrar dejetos, piorando o odor desagradável e colocando em risco a saúde pública. Aliás, uma das moradoras do Bairro Bela Vista chegou a apresentar reclamação ainda no ano de 2012, perante o Procon desta cidade, em face da empresa responsável por tais dutos, a CASAN - Companhia Catarinense de Água e Saneamento. A Reclamação foi autuada sob o número 26164. Adveio à referida Reclamação resposta da CASAN, na qual se depreende que todo o esgoto coletado nos bairros Cristo Rei e Bela Vista passa justamente pela rua na qual residem os moradores Reclamantes do Bairro Bela Vista, para então chegar à ETE – Estação de Tratamento de Esgoto. O espirro de dejetos e o mal cheiro, conforme a CASAN, advém em razão da formação de gases, e o problema foi agravado após a pavimentação daquela Rua, que teria LACRADO AS TAMPAS DE SISTEMA DE ESGOTO, acumulando ainda mais gás e fazendo que os dejetos espirrados sejam cada vez em maior quantidade. Na referida resposta, ainda, se depreende a alegação da CASAN de que estava tentando resolver o problema. porém, os moradores ainda permanecem na mesma situação, que tende a se agravar com a vinda do verão. A Reclamação supracitada foi arquivada pelo Procon, muito embora encerrada apenas com a promessa da CASAN em tentar amenizar o problema. São por essas razões que o vereador proponente apresenta este Requerimento, para fins de realização de Audiência Pública com as autoridades competentes para o fim de explanarem e encontrar soluções práticas para o problema acima relatado, do qual sofrem moradores especialmente do Bairro Parque das Palmeiras e Bela Vista. Termos em que, pede deferimento. 
 89/2018	 22/03/2018	 02/04/2018	 Vereador	 	»»ALZUMIR ROSSARI 	Rejeitada	 O(s) Vereador(es) que este subscreve(m), no exercício do poder lhes conferido pelo artigo 87, inciso III, do Regimento Interno desta Câmara Municipal, e demais disposições legais aplicáveis, solicita(m), após as devidas tramitações legais, seja enviado ofício convidando as seguintes autoridades: VALMOR SCOLARI, Secretário de Desenvolvimento Urbano. ÉCIO BORDIGNON, Superintendente Regional da CASAN – Companhia Catarinense de Água e Saneamento, Para participar de REUNIÃO DE TRABALHO, com data e hora a serem definidas pela Secretaria da Casa junto ao proponente, para debater acerca da noticiada canalização do Rio Chapecozinho, e de que forma tal obra poderá contemplar o Bairro Efapi e demais regiões da cidade que sofrem com constantes faltas de água, no Município de Chapecó. Termos em que, pede deferimento. 
 90/2018	 22/03/2018	 02/04/2018	 Vereador	 	»»ALZUMIR ROSSARI 	Rejeitada	 para que envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento da atual situação, como também contribuir para apontar soluções, REQUER as seguintes informações: A. Seja apresentado todos os cardápios da merenda escolar servida em todas as instituições de ensino do Município, com os respectivos valores nutricionais, do qual se depreenda especificamente as unidades de refeição. Caso tenha ocorrido alterações desde o início de execução do contrato, favor especificar. B. Seja informado o valor despendido pelo Município por cada refeição. Caso tenha sido atualizado, favor apresentar os termos aditivos respectivos. C. Sejam informados quais os critérios de consumo para se considerar uma unidade de refeição consumida. Favor não somente justificar, como também apresentar a respectiva previsão contratual nesse sentido. D. Seja informado se existe previsão contratual ou prática de aquisição pelo Município de alguns ingredientes ou somente parte de refeições, ou se a aquisição segue exclusivamente unidades de refeições. Favor não somente justificar, como também apresentar a respectiva previsão contratual nesse sentido. Adverte-se, ainda, que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que pede deferimento. 
 91/2018	 22/03/2018	 02/04/2018	 Vereador	 	»»ALZUMIR ROSSARI 	Aprovada	 para que envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO ter sido noticiado pelo Município de Chapecó, por volta dos anos de 2008 a 2010, que a Rua Pedro Bordignon seria contemplada com pavimentação em razão da adesão do Município a projeto do FONPLATA. CONSIDERANDO que supracitada rua é corredor de ônibus. CONSIDERANDO a não pavimentação de diversos trechos, e a superveniente entrega de diversos abaixo-assinados para pavimentação. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento da atual situação, como também contribuir para apontar soluções, REQUER as seguintes informações: A. Seja informado se existe projeto ou qualquer procedimento iniciado no Município de Chapecó que vise a pavimentação da Rua Pedro Bordignon, trecho compreendido entre as Ruas Olivio Lago e Delcio Weber. B. Seja informado se a Rua, incluindo o supracitado trecho, estava incluída na relação de ruas a serem pavimentadas com o FONPLATA. Adverte-se, ainda, que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que pede deferimento. 
 92/2018	 22/03/2018	 04/04/2018	 Vereador	 	»»ALZUMIR ROSSARI 	Aprovada	 O(s) Vereador(es) que este subscreve(m), amparado(s) no Art. 5º, XIV e XXXIII e art. 216 § 2º da Constituição Federal/88, bem como nos Artigos 6º e 7º da Lei 12.527/11, combinado com os Artigos 5º, 23, 34 inciso XIII, 58, 59, e 63, da Lei Orgânica Municipal e demais disposições legais aplicáveis, solicita(m) que após as tramitações legais se envie ofício ao Senhor LUCIANO JOSÉ BULIGON, Prefeito Municipal de Chapecó, para que envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO a existência de loteamentos no Bairro Efapi, cujas comunidades são beneficiárias de concessão de uso de áreas institucionais. CONSIDERANDO que boa parte dessas comunidades possuem o título que estão com data para vencer bastante próximas, ou, em alguns casos, até mesmo com a concessão de uso vencidas. CONSIDERANDO que as entidades responsáveis pelas supracitadas áreas estão impedidas de realizar obras ou receber recursos em razão do prazo de concessão vencido ou a vencer, e que algumas inclusive já possuem emendas parlamentares previstas, bastando apenas a renovação da concessão para dar andamento a melhoramentos. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento da atual situação, como também contribuir para apontar soluções, REQUER as seguintes informações: A) Sejam informadas todas as áreas institucionais constantes no Bairro Efapi. B) Da relação supracitada, sejam informadas quais se encontram em concessão/autorização/permissão de uso. Favor apresentar cópia do ato de concessão de cada uma. C) Da relação acima, favor apresentar informações das quais se depreenda quais as comunidades que estão com a concessão de uso vencidas e a vencer, com especificação de datas, especialmente as que vencerão no prazo de até 2 (dois) anos. Adverte-se, ainda, que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que pede deferimento. 
 93/2018	 22/03/2018	 05/04/2018	 Vereador	 	»»ALZUMIR ROSSARI 	Aprovada 	
 94/2018	 22/03/2018	 05/04/2018	 Vereador	 	»»ALZUMIR ROSSARI 	Aprovada	 O(s) Vereador(es) que este subscreve(m), amparado(s) no Art. 5º, XIV e XXXIII e art. 216 § 2º da Constituição Federal/88, bem como nos Artigos 6º e 7º da Lei 12.527/11, combinado com os Artigos 5º, 23, 34 inciso XIII, 58, 59, e 63, da Lei Orgânica Municipal e demais disposições legais aplicáveis, solicita(m) que após as tramitações legais se envie ofício ao Senhor LUCIANO JOSÉ BULIGON, Prefeito Municipal de Chapecó, para que envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento da atual situação, como também contribuir para apontar soluções, REQUER as seguintes informações: A. Seja informado se existe projeto ou iniciativa já em andamento no Poder Executivo que vise a regularização fundiária da área localizada nas proximidades da Rua Ventura Migliorini, no Bairro Santo Antônio, local com aproximadamente 35 famílias. B. Caso exista, sejam apresentados os procedimentos em andamento mediante cópia integral. Caso não exista, favor justificar, informando, ainda, o andar do cumprimento das exigências constantes no procedimento do Ministério Público de número 09.2015.00001067-8. Adverte-se, ainda, que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que pede deferimento. 
 95/2018	 22/03/2018	 Vereador	 	»»CLEBER CECCON 	Entrada	 na Ordem do Dia 	
 96/2018	 22/03/2018	 23/03/2018	 Vereador	 	»»ARESTIDE FIDELIS ADÃO VALCIR TEODORO ADERBAL ANTONIO P. DA SILVA ALZUMIR ROSSARI ANTONIO CIVALDO MENDES CLAIMAR CESAR DE CONTO CLEBER CECCON DELVINO DALL ROSA DERLI MAIER DIEGO FERNANDO ALVES ILDO ADÃO ANTONINI ITAMAR ANTONIO AGNOLETTO JATIR JOSE BALBINOT JOÃO LUIS SIQUEIRA JOÃO MARIA MARQUES ROSA JOSE CELIO PORTELA MARCILEI ANDREA P. VIGNATTI NEURI LUIZ MANTELLI ORIDES ANTUNES ROBERTO CARLOS N. DOS SANTOS VALDEMIR ANTONIO STOBE 	Aprovada	 O(s) Vereador (es) que este subscreve(m), nos termos regimentais em vigor, solicita(m) que após as tramitações legais e se aprovado, seja alterado o Calendário de Reuniões Ordinárias da Câmara Municipal, no mês de abril do corrente ano, passando as sessões marcadas nos dias, 23, 24, 25, 26 e 27, para os dias 2, 3, 4, 5 e 6 de abril respectivamente. Termos que pede deferimento. 
 97/2018	 28/03/2018	 05/04/2018	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Aprovada 	
 98/2018	 28/03/2018	 03/04/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada	 REQUERENDO-LHE: As seguintes informações: 
 99/2018	 29/03/2018	 04/04/2018	 Vereador	 	»»ANTONIO CIVALDO MENDES 	Aprovada	 O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor, solicitam que após as tramitações legais Vossa Excelência submeta este ao plenário, e se aprovado, seja CONVIDADO, o Senhor RUDI MIGUEL SANDER, Presidente da AMOSC – ASSOCIAÇÃO DOS MUNICÍPIOS DO OESTE CATARINENSE, para se fazer presente Nesta Casa Legislativa, a fim de explanar sobre os 50 anos de atividades da entidade e receber Moção de Parabenização pelo cinquentenário da Associação. Termos em que pede deferimento. 
 100/2018	 03/04/2018	 04/04/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada	 O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor, solicitam que após as tramitações legais Vossa Excelência submeta este ao plenário, e se aprovado, se envie ofício aos Senhores RICARDO ALVES DA SILVA - Tenente Coronel Comandante do 2º Batalhão de Polícia Militar de Chapecó e WAGNER MEIRELES - Delegado Regional de Polícia Civil, solicitando as seguintes informações: Considerando o grande efetivo necessário tanto da Polícia Militar, como da Polícia Civil, para manutenção da ordem durante o dia da visita do Ex Presidente Lula e dias que antecederam, inclusive trazendo efetivo de outras regiões, gostaríamos de saber o que segue. 
 101/2018	 04/04/2018	 20/08/2018	 Vereador	 	»»DERLI MAIER 	Retirada	 O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor, solicita(m) que após as tramitações Legais Vossa Excelência Submeta este ao Plenário, e se aprovado, seja encaminhado ofício aos Senhores JOÃO CARLOS GIOVANAZ – Gerente de futebol da chapecoense e JOSÉ NIVALDO MARTINS CONSTANTE – Coordenador técnico da chapecoense, CONVIDANDO-OS para que compareça em uma Sessão Ordinária, Desta Casa Legislativa, a fim de explanar sobre as atividades que contribuem para associação chapecoense de futebol. 
 102/2018	 05/04/2018	 09/04/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada	 requerendo as seguintes informações: 
 103/2018	 05/04/2018	 09/04/2018	 Vereador	 	»»CLEBER CECCON 	Aprovada	 e ao Senhor GERALCI JOÃO AMPOLINI – Secretário da Fazenda, REQUERENDO-LHE: Que envie a essa casa legislativa, informações sobre o projeto de lei nº 76/2018 do executivo que abre crédito suplementar, anulação de dotações no orçamento programa do exercício de 2018. O projeto de lei nº 76/2018, enviado pelo executivo para a essa Casa legislativa em regime de urgência, a fim de solicitar autorização para movimentar dotações já existentes no orçamento, ajustando-as às necessidades do exercício financeiro de 
 104/2018	 06/04/2018	 09/04/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada	 Requerendo as seguintes informações: 
 105/2018	 06/04/2018	 10/04/2018	 Vereador	 	»»ALZUMIR ROSSARI 	Aprovada 	
 106/2018	 09/04/2018	 11/04/2018	 Vereador	 	»»ALZUMIR ROSSARI 	Aprovada	 para que envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO que já foram confeccionados três abaixo-assinados com a adesão necessária dos moradores para pavimentação asfáltica da Rua Santa Cecília, entre as ruas Santo Antônio e Santa Rita, no bairro Esplanada. CONSIDERANDO que a PLANATERRA efetuou os contratos para a execução da obra, bem como definiu a forma de pagamento, no entanto, sem deixar as cópias dos respectivos contratos com os moradores. CONSIDERANDO que foi feito o asfalto da Rua Santa Ana, a qual não estava prevista, como é o caso da Rua Santa Cecília, a qual tem adesão necessária dos moradores há dez anos. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento da atual situação, como também contribuir para apontar soluções, REQUER as seguintes informações: A) Que seja informado se existe projeto ou qualquer procedimento iniciado no Município de Chapecó que vise a pavimentação da Rua Santa Cecília, entre as ruas Santo Antônio e Santa Rita, no Bairro Esplanada. B) Que seja informado se a Rua, incluindo o supracitado trecho, estava incluída na relação de ruas a serem pavimentadas com a Planaterra. C) Que seja informado se existe previsão da pavimentação da Rua Santa Cecília, no trecho acima descrito. Adverte-se, ainda, que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que pede deferimento. 
 107/2018	 09/04/2018	 11/04/2018	 Vereador	 	»»ALZUMIR ROSSARI 	Aprovada 	
 108/2018	 10/04/2018	 12/04/2018	 Vereador	 	»»ANTONIO CIVALDO MENDES ADÃO VALCIR TEODORO ADERBAL ANTONIO P. DA SILVA ALZUMIR ROSSARI ARESTIDE FIDELIS CLAIMAR CESAR DE CONTO CLEBER CECCON DELVINO DALL ROSA DERLI MAIER DIEGO FERNANDO ALVES ILDO ADÃO ANTONINI ITAMAR ANTONIO AGNOLETTO JATIR JOSE BALBINOT JOÃO LUIS SIQUEIRA JOÃO MARIA MARQUES ROSA JOSE CELIO PORTELA MARCILEI ANDREA P. VIGNATTI NEURI LUIZ MANTELLI ORIDES ANTUNES ROBERTO CARLOS N. DOS SANTOS VALDEMIR ANTONIO STOBE 	Aprovada 	
 109/2018	 10/04/2018	 12/04/2018	 Vereador	 	»»CLAIMAR CESAR DE CONTO 	Aprovada	 O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor, solicita(m) que após as tramitações Legais Vossa Excelência Submeta este ao Plenário, e se aprovada, seja encaminhado ofício a senhora LUCIANA BERTASO DE AZEVEDO – Coordenadora de Saúde Mental do Município de Chapecó, ao Senhor ONEIDE FIGUEIREDO – Coordenador do Centro de Atenção Psicossocial Álcool e Drogas (CAPS AD) e a Senhora CASSINTIA GASPARETTO – Coordenadora do Centro de Atenção Psicossocial Infantil (CAPSi), CONVIDANDO-OS para participar de uma Sessão Ordinária, a ser realizada Nesta Casa, a fim de explanar sobre o trabalho realizado pela Rede de Saúde Mental no Município de Chapecó 
 110/2018	 11/04/2018	 13/04/2018	 Vereador	 	»»ALZUMIR ROSSARI 	Aprovada 	
 111/2018	 11/04/2018	 13/04/2018	 Vereador	 	»»ALZUMIR ROSSARI 	Aprovada	" tudo conforme adiante segue. CONSIDERANDO que existe um terreno localizado na Rua Videira, esquina com a Rua Joaçaba, no Bairro Belvedere, local que corresponde como o antigo depósito da Prefeitura. CONSIDERANDO que segundo informações, nesse terreno estão sendo depositados entulhos e restos de materiais. Além do mais, encontra-se cercado de mato. CONSIDERANDO pelo artigo 225 da Constituição Federal: ""Todos têm direito ao meio ambiente ecologicamente equilibrado, bem de uso comum do povo e essencial à sadia qualidade de vida, impondo-se ao poder público e à coletividade o DEVER de defendê-lo e preservá-lo para as presentes e futuras gerações"". CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento da atual situação, como também contribuir para apontar soluções, REQUER as seguintes informações: A. Que seja informado, por meio de documentos oficiais, se a Prefeitura continua pagando o aluguel desse tereno localizado na Rua Videira, esquina com a Rua Joaçaba, no Bairro Belvedere. B. Que seja informado se há previsão para a limpeza desse local, levando-se em consideração que o dano ao meio ambiente constitui responsabilidade objetiva. Adverte-se, ainda, que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que pede deferimento. "
 112/2018	 12/04/2018	 13/04/2018	 Vereador	 	»»VALDEMIR ANTONIO STOBE 	Aprovada	 seja CONVIDADA para se fazer presente em uma Sessão Ordinária Nesta Casa Legislativa, a Senhora TANIS MARAZULIAN LEGAL – Presidente da Rede Feminina em Combate ao Câncer. Ocasião em que será explanado sobre a campanha nacional “PRECISO VIVER” da Rede Feminina. Termos em que pede deferimento. 
 113/2018	 13/04/2018	 08/05/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Retirada 	
 114/2018	 16/04/2018	 09/05/2018	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Rejeitada	 REQUERENDO-LHE: Cumprimentando-o, venho por meio deste INFORMAR que participamos da reunião do Conselho Local de Saúde da região do Cristo Rei, no dia 04/04/18, convidadas pelas moradoras da região. Registro inicialmente a importante conquista da Unidade de Saúde para a comunidade, fazendo com que o conjunto dos serviços pudessem ser atendidos com mais qualidade. Na reunião identificou-se as seguintes dificuldades e gostaria de contar com seu apoio para ajudar na solução: 
 115/2018	 20/04/2018	 07/05/2018	 Vereador	 	»»CLEBER CECCON 	Aprovada 	
 116/2018	 27/04/2018	 07/05/2018	 Vereador	 	»»CLEBER CECCON 	Aprovada	 O Vereador que este subscreve, amparado no Art. 5º, combinado com os artigos 23, inciso XIII do art. 34, art. 58, art. 59, e art. 63, todos da Lei Orgânica Municipal e demais disposições legais, aplicáveis, que após as tramitações legais se envie ofício ao Senhor LUCIANO JOSÉ BULIGON- Prefeito Municipal de Chapecó, a Senhora LUCIANE STOBE – Secretária de Defesa do Cidadão e Mobilidade de Chapecó, a Senhora SANDRA GALERA – Secretária Municipal de Educação, ao Senhor RICARDO ALVES DA SILVA – Comandante do 2º Batalhão da Polícia Militar de Chapecó. REQUERENDO-LHE: Que seja realizado ações com urgência, de forma conjunta, a fim de viabilizar maior segurança no Centro de Educação Infantil Nova Vida no Distrito Marechal Bormann, bem como a toda a comunidade Distrito Marechal Bormann. Essa ação se faz necessária devido aos contantes roubos em que o educandário vem sofrendo, causando prejuízos, insegurança e medo a comunidade escolar. Termos em que pede deferimento. 
 117/2018	 07/05/2018	 Vereador	 	»»CLEBER CECCON 	Entrada	 na Ordem do Dia 	
 118/2018	 07/05/2018	 09/05/2018	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 O(s) Vereador(es) que este subscreve(m), no exercício do poder lhes conferido pelo artigo 87, inciso III, do Regimento Interno desta Câmara Municipal, e demais disposições legais aplicáveis, solicita(m), após as devidas tramitações legais, seja enviado ofício convidando as seguintes autoridades: LUCIANO JOSÉ BULIGON, Prefeito Municipal de Chapecó, representante. MÁRCIO ERNANI SANDER, Secretário Municipal de Desenvolvimento Econômico e Turismo – SEDET. ADENILSO BIASUS, Secretário de Desenvolvimento Econômico Sustentável do Estado de Santa Catarina. TODOS OS MEMBROS (individualmente) do Conselho Municipal de Ciência, Tecnologia e Inovação – CMCTI, conforme Decreto Municipal 34.044/2017. e demais autoridades, pessoas e entidades atuantes ou interessados na área de tecnologia e inovação que se inscrevam até 2 (dois) dias antes da ocorrência do evento, ou que sejam convidadas, para participar de AUDÊNCIA PÚBLICA, com data e hora a serem definidas pela Secretaria da Casa juntamente com o proponente, para discutir a fase em que se encontra a infraestrura e forma de governança do Parque Científico e Tecnológico Chapecó, bem como seu papel no desenvolvimento regional, considerando o vigor da Lei Complementar Municipal 6473/2013, que dispõe sobre a política municipal de incentivo à inovação tecnológica. Termos em que, pede deferimento. 
 119/2018	 07/05/2018	 08/05/2018	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 120/2018	 08/05/2018	 09/05/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada	 REQUERENDO-LHE: A seguinte informação: 
 121/2018	 08/05/2018	 09/05/2018	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Retirada	 E ao Senhor VALMOR J. SCOLARI - Secretário de Desenvolvimento Urbano, CONVIDANDO-OS para uma REUNIÃO DE TRABALHO, para tratar acerca do Projeto de Lei Ordinária nº 111/18 que Institui o Programa de Pavimentação Minha Rua mais Bonita e dá outras providências. Termos em que, pede deferimento. 
 122/2018	 09/05/2018	 11/05/2018	 Vereador	 	»»CLEBER CECCON 	Aprovada 	
 123/2018	 09/05/2018	 30/01/2019	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Retirada	 REQUERENDO-LHE: A partir da solicitação de idosos que participam de grupos de idosos nos bairros da cidade, há constante reclamação a respeito da suspensão do fornecimento da alimentação feita pela Prefeitura, através da Secretaria de Assistência Social aos grupos de idosos. A justificativa da conta de que a prefeitura deixara de fazer acatando uma decisão do Ministério Público, nesse sentido requer: 
 124/2018	 09/05/2018	 09/05/2018	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 125/2018	 09/05/2018	 09/05/2018	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 126/2018	 09/05/2018	 09/05/2018	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 O(s) Vereador(es) que este subscreve(m), amparado(s) no Art. 5º, XIV e XXXIII e art. 216 § 2º da Constituição Federal/88, bem como nos Artigos 6º e 7º da Lei 12.527/11, combinado com os Artigos 5º, 23, 34 inciso XIII, 58, 59, e 63, da Lei Orgânica Municipal e demais disposições legais aplicáveis, solicita(m) que após as tramitações legais se envie ofício ao Senhor LUCIANO JOSÉ BULIGON, Prefeito Municipal de Chapecó, para que envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO a grande quantidade de reclamações a respeito do repentino corte de fornecimento de alimentos para grupos de idosos, que advinham até estão de rubricas da assistência social, em apoio às atividades desses grupos. CONSIDERANDO que a rubrica destinada à assistência ao idoso, na Lei Orçamentária Anual vigente dispõe de uma previsão de R$ 6,6 milhões, enquanto na Lei Orçamentária Anual de 2017 a mesma rubrica apresentava valor inferior (R$ 
 127/2018	 09/05/2018	 12/03/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 128/2018	 09/05/2018	 09/05/2018	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Retirada	 O(s) Vereador(es) que este subscreve(m), amparado(s) no Art. 5º, XIV e XXXIII e art. 216 § 2º da Constituição Federal/88, bem como nos Artigos 6º e 7º da Lei 12.527/11, combinado com os Artigos 5º, 23, 34 inciso XIII, 58, 59, e 63, da Lei Orgânica Municipal e demais disposições legais aplicáveis, solicita(m) que após as tramitações legais se envie ofício ao Senhor LUCIANO JOSÉ BULIGON, Prefeito Municipal de Chapecó, para que envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO a aprovação de duas indicações que solicitam a tomada de iniciativa da Prefeitura para realizar as melhorias necessárias no Ecoparque. CONSIDERANDO que a Indicação 65/2018 diz respeito à realização de manutenção preventiva em todos os equipamentos e espaços de lazer e convívio do Ecoparque, com atenção especial à área destinada às crianças. CONSIDERANDO que a Indicação 1008/2017 diz respeito à colocação de mais barras para realização de atividades físicas. CONSIDERANDO que, conforme informações de alguns cidadãos, ambas as indicações não foram atendidas, REQUER: A) Seja informado se as indicações serão atendidas, bem como a data provável para a realização das diligências, tendo em vista que os cidadãos aguardam pela tomada de iniciativa e respostas. Adverte-se, ainda, que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que pede deferimento. 
 129/2018	 11/05/2018	 22/05/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Rejeitada 	
 130/2018	 11/05/2018	 21/05/2018	 Vereador	 	»»CLEBER CECCON ARESTIDE FIDELIS 	Aprovada	 ao Senhor VALDIR CRESTANI – Secretário de Desenvolvimento Rural e Meio Ambiente de Chapecó, ao Senhor IVAN TORMEM, Gerente Regional da Epagri – Gerência Regional de Chapecó, ao Senhor RICARDO FERREIRA DA SILVA, Coordenador Vigilância Sanitária de Chapecó, ao Senhor CLEVERSON ZAMBONI, Presidente da Associação dos Produtores Feirantes de Chapecó APROFEC, CONVIDANDO-OS para uma REUNIÃO DE TRABALHO, a fim de discutir, debater e esclarecer sobre o projeto de lei nº 97/2018, enviado pelo executivo, que tramita nesta casa legislativa, que dispõe sobre a regularização de feiras livres de Agricultores na macrozona urbana do município de Chapecó. Através de termo de ajustamento de condutas, solicitado pelo Ministério Público da 10º Promotoria de Justiça de Chapecó, o executivo elaborou o Projeto de lei nº 97/2018, no qual está em trâmite na Câmara de Vereadores, no qual dispõe sobre a regularização de feiras livres de Agricultores na macrozona urbana do município de Chapecó. O presente projeto de lei tem com intuito regulamentar o funcionamento de Feiras Livres de Agricultores no município de Chapecó. Possibilitando as modalidades de feiras livres fixas ou móveis, as quais são realizadas em áreas públicas ou privadas. Termos em que pede deferimento. 
 131/2018	 11/05/2018	 23/05/2018	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Aprovada	 E ao Senhor VALMOR J. SCOLARI - Secretário de Desenvolvimento Urbano, CONVIDANDO-OS para uma REUNIÃO DE TRABALHO, para tratar acerca do Projeto de Lei Ordinária nº 111/18 que Institui o Programa de Pavimentação Minha Rua mais Bonita e dá outras providências, aprovado Nesta Casa. Termos em que, pede deferimento. 
 132/2018	 11/05/2018	 22/05/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Rejeitada	 REQUERENDO-LHE: O que segue: 
 133/2018	 11/05/2018	 23/05/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada 	
 134/2018	 17/05/2018	 23/05/2018	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 135/2018	 18/05/2018	 23/05/2018	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
